id,rubro_tarifa_id:id,variable,tipo,valor,resource_ref,model_id:id
rubro_regla_rector_puerto_1,nave_documento.rubro_tarifa_rector_puerto,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_rector_puerto_2,nave_documento.rubro_tarifa_rector_puerto,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_segu_prev_10_150_1,nave_documento.rubro_tarifa_seg_prev_10_150,trb,mayor,10,,
rubro_regla_segu_prev_10_150_2,nave_documento.rubro_tarifa_seg_prev_10_150,trb,menor_igual,150,,
rubro_regla_segu_prev_150_500_1,nave_documento.rubro_tarifa_seg_prev_150_500,trb,mayor,150,,
rubro_regla_segu_prev_150_500_2,nave_documento.rubro_tarifa_seg_prev_150_500,trb,menor_igual,500,,
rubro_regla_seg_prev_pesca_500_1500_1,nave_documento.rubro_tarifa_seg_prev_pesca_500_1500,trb,mayor,500,,
rubro_regla_seg_prev_pesca_500_1500_2,nave_documento.rubro_tarifa_seg_prev_pesca_500_1500,trb,menor_igual,1500,,
rubro_regla_seg_prev_pesca_500_1500_3,nave_documento.rubro_tarifa_seg_prev_pesca_500_1500,nave_tipo_grupo_id,igual,,"nave.nave.grupo,2",
rubro_regla_seg_prev_pesca_1500_2500_1,nave_documento.rubro_tarifa_seg_prev_pesca_1500_2500,trb,mayor,1500,,
rubro_regla_seg_prev_pesca_1500_2500_2,nave_documento.rubro_tarifa_seg_prev_pesca_1500_2500,trb,menor_igual,2500,,
rubro_regla_seg_prev_pesca_1500_2500_3,nave_documento.rubro_tarifa_seg_prev_pesca_1500_2500,nave_tipo_grupo_id,igual,,"nave.nave.grupo,2",
rubro_regla_seg_prev_pesca_2500_1,nave_documento.rubro_tarifa_seg_prev_pesca_2500,trb,mayor,2500,,
rubro_regla_seg_prev_pesca_2500_2,nave_documento.rubro_tarifa_seg_prev_pesca_2500,nave_tipo_grupo_id,igual,,"nave.nave.grupo,2",
rubro_regla_segu_radio_10_500_1,nave_documento.rubro_tarifa_segu_radio_10_500,trb,mayor,10,,
rubro_regla_segu_radio_10_500_2,nave_documento.rubro_tarifa_segu_radio_10_500,trb,menor_igual,500,,
rubro_regla_segu_radio_500_1000_1,nave_documento.rubro_tarifa_segu_radio_500_1000,trb,mayor,500,,
rubro_regla_segu_radio_500_1000_2,nave_documento.rubro_tarifa_segu_radio_500_1000,trb,menor_igual,1000,,
rubro_regla_segu_radio_1000_1500_1,nave_documento.rubro_tarifa_segu_radio_1000_1500,trb,mayor,1000,,
rubro_regla_segu_radio_1000_1500_2,nave_documento.rubro_tarifa_segu_radio_1000_1500,trb,menor_igual,1500,,
rubro_regla_segu_radio_1500_1,nave_documento.rubro_tarifa_segu_radio_1500,trb,mayor,1500,,
rubro_regla_segu_pasaje_0_500_1,nave_documento.rubro_tarifa_segu_pasaje_0_500,trb,menor_igual,500,,
rubro_regla_segu_pasaje_0_500_2,nave_documento.rubro_tarifa_segu_pasaje_0_500,nave_tipo_grupo_id,igual,,"nave.nave.grupo,4",
rubro_regla_segu_pasaje_500_1500_1,nave_documento.rubro_tarifa_segu_pasaje_500_1500,trb,mayor,500,,
rubro_regla_segu_pasaje_500_1500_2,nave_documento.rubro_tarifa_segu_pasaje_500_1500,trb,menor_igual,1500,,
rubro_regla_segu_pasaje_500_1500_3,nave_documento.rubro_tarifa_segu_pasaje_500_1500,nave_tipo_grupo_id,igual,,"nave.nave.grupo,4",
rubro_regla_segu_pasaje_1500_1,nave_documento.rubro_tarifa_segu_pasaje_1500,trb,mayor,1500,,
rubro_regla_segu_pasaje_1500_3,nave_documento.rubro_tarifa_segu_pasaje_1500,nave_tipo_grupo_id,igual,,"nave.nave.grupo,4",
