id,name
nave_empr_mant_tipo_astillero_varadero,Astilleros - Parrillas - Varaderos - Factorías Navales
nave_empr_mant_tipo_serv_extintores,Servicios de Extintores
nave_empr_mant_tipo_balsas_salvavidas,Balsas Salvavidas
